coin,fundingRate,premium,time
SOL,0.000003162,0.0000252963,1687377600059
SOL,-0.0000002714,-0.0000021716,1687381200102
SOL,0.0000045064,0.0000360514,1687384800115
SOL,-0.0000020437,-0.0000163494,1687388400023
SOL,-0.0000096779,-0.0000774235,1687392000381
SOL,0.0000298012,0.0002384099,1687395600016
SOL,0.0000147084,0.000117667,1687399200059
SOL,0.0000003597,0.0000028778,1687402800314
SOL,-0.0000148874,-0.0001190989,1687406400150
SOL,-0.0000261691,-0.0002093531,1687410000019
SOL,-0.0000429198,-0.0003433586,1687413600098
SOL,-0.0000030155,-0.0000241239,1687417200136
SOL,0.0000282337,0.0002258693,1687420800068
SOL,0.0000153417,0.0001227339,1687424400025
SOL,0.0000062619,0.0000500951,1687428000469
SOL,-0.0000117923,-0.0000943382,1687431600851
SOL,0.000054655,0.0004372397,1687435200054
SOL,0.0000154039,0.0001232312,1687438800195
SOL,-0.000001091,-0.0000087284,1687442400077
SOL,0.0000120879,0.000096703,1687446000183
SOL,0.0000107766,0.0000862127,1687449600093
SOL,0.0000113435,0.0000907477,1687453200464
SOL,0.0000168874,0.0001350992,1687456800158
SOL,0.0000067088,0.0000536705,1687460400028
SOL,0.0000227324,0.000181859,1687464000216
SOL,0.0000013736,0.0000109889,1687467600041
SOL,0.0000024821,0.0000198567,1687471200171
SOL,-0.0000067461,-0.0000539687,1687474800089
SOL,0.0000023061,0.0000184489,1687478400068
SOL,0.0000213441,0.0001707531,1687482000164
SOL,0.0000065143,0.0000521147,1687485600171
SOL,0.0000229532,0.0001836257,1687489200087
SOL,0.0000180549,0.0001444393,1687492800173
SOL,0.0000096427,0.0000771417,1687496400074
SOL,0.0000233276,0.0001866208,1687500000108
SOL,0.0000027552,0.0000220416,1687503600164
SOL,0.0000138429,0.0001107435,1687507200067
SOL,0.000007323,0.0000585838,1687510800158
SOL,-0.0000077083,-0.0000616662,1687514400002
SOL,-0.0000129277,-0.0001034212,1687518000046
SOL,-0.0000116717,-0.0000933739,1687521600308
SOL,-0.0000001443,-0.0000011546,1687525200100
SOL,0.0000072206,0.0000577647,1687528800048
SOL,0.0000174653,0.0001397223,1687532400452
SOL,0.0000227797,0.0001822379,1687536000030
SOL,0.0000675687,0.00054055,1687539600143
SOL,0.0000026406,0.0000211247,1687543200101
SOL,-0.0000038797,-0.0000310377,1687546800082
SOL,-0.0000108819,-0.0000870553,1687550400003
SOL,-0.000003272,-0.0000261761,1687554000058
SOL,0.0000109295,0.0000874363,1687557600989
SOL,0.0000171799,0.0001374392,1687561200014
SOL,-0.0000082975,-0.0000663804,1687564800118
SOL,0.0000357492,0.0002859936,1687568400118
SOL,0.0000431462,0.0003451698,1687572000013
SOL,0.0000352351,0.0002818805,1687575600139
SOL,0.0000244369,0.000195495,1687579200142
SOL,0.000014703,0.0001176237,1687582800017
SOL,0.0000079339,0.0000634709,1687586400065
SOL,0.0000057037,0.0000456298,1687590000097
SOL,0.0000061852,0.0000494817,1687593600170
SOL,0.0000175895,0.0001407158,1687597200042
SOL,0.0000098458,0.0000787666,1687600800188
SOL,-0.000004759,-0.000038072,1687604400177
SOL,0.0000155695,0.0001245563,1687608000182
SOL,0.0000106911,0.0000855291,1687611600056
SOL,-0.00000043,-0.0000034399,1687615200140
SOL,0.0000068757,0.000055006,1687618800270
SOL,0.0000415298,0.0003322381,1687622400011
SOL,0.0000181356,0.0001450851,1687626000119
SOL,-0.0000054621,-0.0000436967,1687629600098
SOL,-0.0000346596,-0.0002772771,1687633200118
SOL,-0.0000731297,-0.0005850376,1687636800106
SOL,-0.0000674916,-0.0005399328,1687640400164
SOL,-0.0000831407,-0.0006651256,1687644000166
SOL,-0.0000796062,-0.0006368498,1687647600203
SOL,-0.0000783459,-0.0006267675,1687651200049
SOL,-0.0000902649,-0.0007221188,1687654800150
SOL,-0.0000747675,-0.0005981399,1687658400006
SOL,-0.0000673792,-0.0005390337,1687662000143
SOL,-0.0000733797,-0.0005870377,1687665600025
SOL,-0.0000459444,-0.0003675555,1687669200089
SOL,-0.0000213574,-0.0001708592,1687672800028
SOL,-0.0000158695,-0.0001269559,1687676400121
SOL,-0.0000561241,-0.0004489926,1687680000061
SOL,-0.0000451507,-0.0003612056,1687683600152
SOL,-0.0000482788,-0.0003862303,1687687200201
